id_pokedex,nombre,especie,generacion,tipo_1,tipo_2,numero_tipos,ps,ataque,defensa,ataque_especial,defensa_especial,velocidad,total_estadisticas_base,altura_m,peso_kg,experiencia_base,habilidad_1,habilidad_2,habilidad_oculta,color,forma,habitat,ritmo_crecimiento,grupos_huevo,es_legendario,es_mitico,es_bebe,tasa_captura,felicidad_base,contador_eclosion,tasa_genero,descripcion,url_sprite,es_tipo_dual,imc,proporcion_ataque_defensa,total_fisico,total_especial,total_ofensivo,total_defensivo,distribucion_genero,nivel_estadisticas
26,Raichu,Pokémon Ratón,Generacion 1,electrico,,1,60,90,55,90,80,110,485,0.8,30.0,218,Elec. Estática,,Pararrayos,amarillo,erguido,bosque,medio,"tierra, hada",Falso,Falso,Falso,75,70,10,4,"Cuando se carga de electricidad, sus músculos se tensan y se vuelve más agresivo de lo normal.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,Falso,46.9,1.64,145,170,290,195,50% Macho / 50% Hembra,Promedio (400-499)
27,Sandshrew,Pokémon Ratón,Generacion 1,tierra,,1,50,75,85,20,30,40,300,0.6,12.0,60,Velo Arena,,Ímpetu Arena,amarillo,erguido,terreno_aspero,medio,tierra,Falso,Falso,Falso,255,70,20,4,"Este Pokémon permanece bajo tierra. Si se siente amenazado, se enrosca para defenderse.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,Falso,33.3,0.88,160,50,135,165,50% Macho / 50% Hembra,Debajo del promedio (300-399)
28,Sandslash,Pokémon Ratón,Generacion 1,tierra,,1,75,100,110,45,55,65,450,1.0,29.5,158,Velo Arena,,Ímpetu Arena,amarillo,erguido,terreno_aspero,medio,tierra,Falso,Falso,Falso,90,70,20,4,"Si cava a gran velocidad, puede que se le caigan las garras y púas. Vuelven a crecerle en un día.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,Falso,29.5,0.91,210,100,210,240,50% Macho / 50% Hembra,Promedio (400-499)
29,Nidoran♀,Pokémon Pin Veneno,Generacion 1,veneno,,1,55,47,52,40,40,41,275,0.4,7.0,55,Punto Tóxico,Rivalidad,Entusiasmo,azul,cuadrupedo,pradera,medio_lento,"monstruo, tierra",Falso,Falso,Falso,235,70,20,8,"Aunque pequeñas, sus venenosas púas son muy peligrosas. Tienen un cuerno más pequeño que los machos.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,Falso,43.7,0.9,99,80,128,147,Siempre hembra,Debil (<300)
30,Nidorina,Pokémon Pin Veneno,Generacion 1,veneno,,1,70,62,67,55,55,56,365,0.8,20.0,128,Punto Tóxico,Rivalidad,Entusiasmo,azul,cuadrupedo,pradera,medio_lento,sin_huevos,Falso,Falso,Falso,120,70,20,8,Tiene un carácter afable. Emite ondas ultrasónicas para confundir al enemigo.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,Falso,31.2,0.93,129,110,173,192,Siempre hembra,Debajo del promedio (300-399)
31,Nidoqueen,Pokémon Taladro,Generacion 1,veneno,tierra,2,90,92,87,75,85,76,505,1.3,60.0,227,Punto Tóxico,Rivalidad,Potencia Bruta,azul,erguido,pradera,medio_lento,sin_huevos,Falso,Falso,Falso,45,70,20,8,Usa su cuerpo duro y escamoso para sellar la entrada a su madriguera y protegerse de los depredadores.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,Verdadero,35.5,1.06,179,160,243,262,Siempre hembra,Fuerte (500-599)
32,Nidoran♂,Pokémon Pin Veneno,Generacion 1,veneno,,1,46,57,40,40,40,50,273,0.5,9.0,55,Punto Tóxico,Rivalidad,Entusiasmo,morado,cuadrupedo,pradera,medio_lento,"monstruo, tierra",Falso,Falso,Falso,235,70,20,0,Saca las orejas por encima de la hierba para explorar el territorio. Le protege su cuerno venenoso.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,Falso,36.0,1.42,97,80,147,126,Siempre macho,Debil (<300)
33,Nidorino,Pokémon Pin Veneno,Generacion 1,veneno,,1,61,72,57,55,55,65,365,0.9,19.5,128,Punto Tóxico,Rivalidad,Entusiasmo,morado,cuadrupedo,pradera,medio_lento,"monstruo, tierra",Falso,Falso,Falso,120,70,20,0,"Levanta sus grandes orejas para vigilar. Si detecta algo, atacará de inmediato.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,Falso,24.1,1.26,129,110,192,173,Siempre macho,Debajo del promedio (300-399)
34,Nidoking,Pokémon Taladro,Generacion 1,veneno,tierra,2,81,102,77,85,75,85,505,1.4,62.0,227,Punto Tóxico,Rivalidad,Potencia Bruta,morado,erguido,pradera,medio_lento,"monstruo, tierra",Falso,Falso,Falso,45,70,20,0,Es fácil reconocerlo por tener una dura piel y un gran cuerno lleno de peligrosísimo veneno.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,Verdadero,31.6,1.32,179,160,272,233,Siempre macho,Fuerte (500-599)
35,Clefairy,Pokémon Hada,Generacion 1,hada,,1,70,45,48,60,65,35,323,0.6,7.5,113,Gran Encanto,Muro Mágico,Compiescolta,rosa,erguido,montana,rapido,hada,Falso,Falso,Falso,150,140,10,6,Se dice que la felicidad llegará a quien vea a un grupo de Clefairy bailando a la luz de la luna llena.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,Falso,20.8,0.94,93,125,140,183,25% Macho / 75% Hembra,Debajo del promedio (300-399)
36,Clefable,Pokémon Hada,Generacion 1,hada,,1,95,70,73,95,90,60,483,1.3,40.0,217,Gran Encanto,Muro Mágico,Ignorante,rosa,erguido,montana,rapido,hada,Falso,Falso,Falso,25,140,10,6,Su oído es tan agudo que puede oír una aguja caer a 1 km. Vive en montañas solitarias.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,Falso,23.7,0.96,143,185,225,258,25% Macho / 75% Hembra,Promedio (400-499)
37,Vulpix,Pokémon Zorro,Generacion 1,fuego,,1,38,41,40,50,65,65,299,0.6,9.9,60,Absorbe Fuego,,Sequía,marron,cuadrupedo,pradera,medio,tierra,Falso,Falso,Falso,190,70,20,6,"Cuando nace solo tiene una cola, pero a medida que crece, esta se va dividiendo desde la punta.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,Falso,27.5,1.02,81,115,156,143,25% Macho / 75% Hembra,Debil (<300)
38,Ninetales,Pokémon Zorro,Generacion 1,fuego,,1,73,76,75,81,100,100,505,1.1,19.9,177,Absorbe Fuego,,Sequía,amarillo,cuadrupedo,pradera,medio,tierra,Falso,Falso,Falso,75,70,20,6,Tiene nueve colas y un pelaje de color dorado. Dicen que este Pokémon llega a vivir 1000 años.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,Falso,16.4,1.01,151,181,257,248,25% Macho / 75% Hembra,Fuerte (500-599)
39,Jigglypuff,Pokémon Globo,Generacion 1,normal,hada,2,115,45,20,45,25,20,270,0.5,5.5,95,Gran Encanto,Tenacidad,Compiescolta,rosa,humanoide,pradera,rapido,hada,Falso,Falso,Falso,170,70,10,6,Cautiva con la mirada a su enemigo y hace que se quede profundamente dormido mientras entona una dulce melodía.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,Verdadero,22.0,2.25,65,70,110,160,25% Macho / 75% Hembra,Debil (<300)
40,Wigglytuff,Pokémon Globo,Generacion 1,normal,hada,2,140,70,45,85,50,45,435,1.0,12.0,196,Gran Encanto,Tenacidad,Cacheo,rosa,humanoide,pradera,rapido,hada,Falso,Falso,Falso,50,70,10,6,"Su piel es tan suave que si dos de ellos se acurrucan juntos, no querrán separarse nunca.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,Verdadero,12.0,1.56,115,135,200,235,25% Macho / 75% Hembra,Promedio (400-499)
41,Zubat,Pokémon Murciélago,Generacion 1,veneno,volador,2,40,45,35,30,40,55,245,0.8,7.5,49,Foco Interno,,Allanamiento,morado,alas,cueva,medio,volador,Falso,Falso,Falso,255,70,15,4,"Aunque carezca de ojos, puede detectar obstáculos con las ondas ultrasónicas que emite su boca.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,Verdadero,11.7,1.29,80,70,130,115,50% Macho / 50% Hembra,Debil (<300)
42,Golbat,Pokémon Murciélago,Generacion 1,veneno,volador,2,75,80,70,65,75,90,455,1.6,55.0,159,Foco Interno,,Allanamiento,morado,alas,cueva,medio,volador,Falso,Falso,Falso,90,70,15,4,"Cuando ataque, seguirá chupando energía de su víctima, aunque pese tanto que ya no pueda volar.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,Verdadero,21.5,1.14,150,140,235,220,50% Macho / 50% Hembra,Promedio (400-499)
43,Oddish,Pokémon Hierbajo,Generacion 1,planta,veneno,2,45,50,55,75,65,30,320,0.5,5.4,64,Clorofila,,Fuga,azul,piernas,pradera,medio_lento,planta,Falso,Falso,Falso,255,70,20,4,"Durante el día, se agazapa en el frío subsuelo huyendo del sol. La luz de la luna le hace crecer mucho.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,Verdadero,21.6,0.91,105,140,155,165,50% Macho / 50% Hembra,Debajo del promedio (300-399)
44,Gloom,Pokémon Hierbajo,Generacion 1,planta,veneno,2,60,65,70,85,75,40,395,0.8,8.6,138,Clorofila,,Hedor,azul,humanoide,pradera,medio_lento,planta,Falso,Falso,Falso,120,70,20,4,"¡Huele bastante mal! De todas formas, una de cada mil personas aprecian su fétido olor.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,Verdadero,13.4,0.93,135,160,190,205,50% Macho / 50% Hembra,Debajo del promedio (300-399)
45,Vileplume,Pokémon Flor,Generacion 1,planta,veneno,2,75,80,85,110,90,50,490,1.2,18.6,221,Clorofila,,Efecto Espora,rojo,humanoide,pradera,medio_lento,planta,Falso,Falso,Falso,45,70,20,4,"Cuanto mayores son sus pétalos, más tóxico es su polen. Le pesa la cabeza y le cuesta mantenerla erguida.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,Verdadero,12.9,0.94,165,200,240,250,50% Macho / 50% Hembra,Promedio (400-499)
46,Paras,Pokémon Hongo,Generacion 1,bicho,planta,2,35,70,55,45,55,25,285,0.3,5.4,57,Efecto Espora,Piel Seca,Humedad,rojo,armadura,bosque,medio,"bicho, planta",Falso,Falso,Falso,190,70,20,4,"Lleva en el lomo dos setas parásitas llamadas tochukaso, que crecen con él.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,Verdadero,60.0,1.27,125,100,140,145,50% Macho / 50% Hembra,Debil (<300)
47,Parasect,Pokémon Hongo,Generacion 1,bicho,planta,2,60,95,80,60,80,30,405,1.0,29.5,142,Efecto Espora,Piel Seca,Humedad,rojo,armadura,bosque,medio,"bicho, planta",Falso,Falso,Falso,75,70,20,4,Parasect está dominado por una seta parásita mayor que él. Dispersa esporas venenosas.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,Verdadero,29.5,1.19,175,140,185,220,50% Macho / 50% Hembra,Promedio (400-499)
48,Venonat,Pokémon Insecto,Generacion 1,bicho,veneno,2,60,55,50,40,55,45,305,1.0,30.0,61,Ojo Compuesto,Cromolente,Fuga,morado,humanoide,bosque,medio,bicho,Falso,Falso,Falso,190,70,20,4,Sus grandes ojos son en realidad grupos de ojos diminutos. Por la noche se siente atraído por la luz.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,Verdadero,30.0,1.1,105,95,140,165,50% Macho / 50% Hembra,Debajo del promedio (300-399)
49,Venomoth,Pokémon Polilla Ven.,Generacion 1,bicho,veneno,2,70,65,60,90,75,90,450,1.5,12.5,158,Polvo Escudo,Cromolente,Piel Milagro,morado,alas_insecto,bosque,medio,bicho,Falso,Falso,Falso,75,70,20,4,"Lanza unas escamas que paralizan a cualquiera. Quien las toque, no podrá ni ponerse de pie.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,Verdadero,5.6,1.08,125,165,245,205,50% Macho / 50% Hembra,Promedio (400-499)
50,Diglett,Pokémon Topo,Generacion 1,tierra,,1,10,55,25,35,45,95,265,0.2,0.8,53,Velo Arena,Trampa Arena,Poder Arena,marron,masa,cueva,medio,tierra,Falso,Falso,Falso,255,70,20,4,"Vive un metro por debajo del suelo, donde se alimenta de raíces. También aparece en la superficie.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,Falso,20.0,2.2,80,80,185,80,50% Macho / 50% Hembra,Debil (<300)
51,Dugtrio,Pokémon Topo,Generacion 1,tierra,,1,35,100,50,50,70,120,425,0.7,33.3,149,Velo Arena,Trampa Arena,Poder Arena,marron,cabezas,cueva,medio,tierra,Falso,Falso,Falso,50,70,20,4,"En combate, cava la tierra, se esconde y sale de repente para golpear a su rival. Nunca se sabe por dónde puede aparecer.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,Falso,68.0,2.0,150,120,270,155,50% Macho / 50% Hembra,Promedio (400-499)
52,Meowth,Pokémon Gato Araña,Generacion 1,normal,,1,40,45,35,40,40,90,290,0.4,4.2,58,Recogida,Experto,Nerviosismo,amarillo,cuadrupedo,urbano,medio,tierra,Falso,Falso,Falso,255,70,20,4,Es de naturaleza nocturna. Le atraen los objetos brillantes.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,Falso,26.2,1.29,80,80,175,115,50% Macho / 50% Hembra,Debil (<300)
53,Persian,Pokémon Gato Fino,Generacion 1,normal,,1,65,70,60,65,65,115,440,1.0,32.0,154,Flexibilidad,Experto,Nerviosismo,amarillo,cuadrupedo,urbano,medio,tierra,Falso,Falso,Falso,90,70,20,4,"Aunque es muy admirado por el pelo, es difícil de entrenar como mascota, porque es un poco travieso.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,Falso,32.0,1.17,130,130,250,190,50% Macho / 50% Hembra,Promedio (400-499)
54,Psyduck,Pokémon Pato,Generacion 1,agua,,1,50,52,48,65,50,55,320,0.8,19.6,64,Humedad,Aclimatación,Nado Rápido,amarillo,erguido,orilla_agua,medio,"agua1, tierra",Falso,Falso,Falso,190,70,20,4,"Padece continuamente dolores de cabeza. Cuando son muy fuertes, empieza a usar misteriosos poderes.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,Falso,30.6,1.08,100,115,172,148,50% Macho / 50% Hembra,Debajo del promedio (300-399)
